id,comment_text,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,toxicity_label
73b10ec620eb1fba,"Ed Johnston, glad to see you take care about 1RR, but what about Verifiability? Lvivskie misquotes so many sources - examples see here: .",0.0012599292676895857,6.474539259215817e-05,0.0002901356783695519,7.089422433637083e-05,0.00018025680037681013,0.000122825222206302,non_toxicity
2ff13619a98e0617,"such great intellectual talent, was a spendthrift, having died, left his family bankrupt.",0.1710718870162964,0.00026617239927873015,0.008618765510618687,0.0005690703401342034,0.004611147567629814,0.0005562099977396429,non_toxicity
0956590dcb1a50dd,": Not to be a back-seat driver, but shouldn't the page have a tag?",0.0021305843256413937,6.560005567735061e-05,0.0002985254395753145,7.304048631340265e-05,0.0001940682268468663,0.00012655407772399485,non_toxicity
fe049c77cb1a4edd,:The other article had a huge talk page? Was it removed in the attempted redirect?,0.0007183562265709043,6.933453551027924e-05,0.0001860413613030687,7.297184492927045e-05,0.0001435359299648553,0.00010337579442420974,non_toxicity
358994594f577f4d,REDIRECT Talk:Issel's groove-toothed swamp rat,0.19183766841888428,0.00036251835990697145,0.030032066628336906,0.0006989397224970162,0.005070846062153578,0.0004790129023604095,non_toxicity
e9b3db7f12eb8a30,"== Concentration camps == 

 Dan, you know I respect you, but why do you support using Soviet propaganda terminology ? You know the difference between a POW and a concentration camp probably better than I do. You really puzzled me now.",0.000621950370259583,7.032136636553332e-05,0.000183956726687029,7.216165977297351e-05,0.00014260594616644084,0.00010456291784066707,non_toxicity
2bbd599d949d8810,"==Merging/blanking this page== 
 This page has been repetedly merged with Homosexual behavior in animals without any discussion. I have restore it awaiting discussion and consensus.",0.06928528845310211,0.00016222731210291386,0.0037454382982105017,0.0003516433644108474,0.002648769412189722,0.0006609209231100976,non_toxicity
383240e452765ec5,"""? 

 *""""It is thought that the dedication to St Bertelin was taken from the dedication of the Saxon church"""". By whom is it thought""",0.0006214523455128074,7.010102126514539e-05,0.00018539748270995915,7.462473149644211e-05,0.0001409586111549288,0.00010380906314821914,non_toxicity
27537f2f96a8c959,"just see your history,you are worse than me!",0.6792218685150146,0.0015675461618229747,0.009701313450932503,0.005048462189733982,0.05601562559604645,0.004398124758154154,non_toxicity
fee109984dae46c6,== May 2011 Newsletter for WikiProject United States ==,0.0005217764992266893,7.298116543097422e-05,0.00016423696069978178,7.448936230503023e-05,0.00014285567158367485,0.00010552522144280374,non_toxicity
